Date,subject1,subject2,subject3,subject4,subject5,subject6,subject7,subject8,subject9,subject10,subject11,subject12,subject13,subject14,subject15,subject16,subject17,subject18,subject19,subject20,subject21,subject22,subject23,subject24
2015-5-30,2.7,2.7,3,0,1.7,4,4,3.7,3.7,2.7,3.7,2.7,4,4,3,2.7,3.3,3.3,3.7,3.7,3.3,3,3.7,3.7
2015-5-30,4,2,2.7,2.7,4,3,0,0,0,1.3,3,0,2.7,2.7,0,2,2,2.7,0,2,2.7,2.7,3,3.7
2015-5-30,2,2,3.3,0,0,4,2.7,0,2.7,4,2,0,3.3,3.3,0,2.7,0,0,2,2.7,3.3,3.3,3.3,3.7
2015-5-30,3,2,2,3.7,3.7,4,0,0,0,0,0,0,0,0,0,0,0,2,0,2,3.3,2.7,2,3.7
2015-5-30,3,3,3,0,0,4,0,0,0,0,0,0,1.7,0,0,0,0,1,0,0,2,2,1.7,3.7
2015-5-30,2.7,2.7,2,0,0,4,2,0,0,1.3,0,0,2.7,3.7,3.3,0,2,3.7,2.7,2.7,2.7,3.3,2,3.7
2015-5-30,2.7,1.3,2.7,3,3,4,2.7,2.7,0,3.7,2,2.7,3.3,4,3,2.7,3.7,4,3,3.7,4,3.7,3.7,4
2015-5-30,3,3.3,3,2.7,4,4,2.7,0,2,2.7,0,0,0,3.3,0,0,0,2.7,0,0,0,0,0,3.7
2015-5-30,0,0,2.7,0,2.7,4,2.7,2.7,0,2.7,0,2,0,3,0,3.3,0,2,0,0,0,2.7,2.7,4
2015-5-30,3,2.7,3.3,2,4,4,0,0,3.3,0,0,0,1.7,2.7,0,3,0,2.7,0,0,0,0,0,3.7
2015-5-30,1.7,2.7,1.7,0,1.7,4,0,0,2.7,3.7,1.7,1.3,3.7,4,2.7,4,3,3.7,3.7,3.7,3.7,4,4,4
2015-5-30,3.7,3.7,3.3,4,4,4,3,0,4,3,0,1.3,0,2.7,0,0,0,2.7,0,3,3.3,3.7,3.3,4
2015-5-30,3.3,2,3,2.7,3.3,3.7,3.7,4,3.3,2.7,3.3,3.3,4,4,4,4,4,4,4,4,4,4,4,4
2015-5-30,4,4,3.7,3.3,4,3.7,4,3,3.7,2.7,0,0,2,3.3,2,3.3,2.7,3.7,3,0,1.7,2.7,4,3.3
2015-5-30,3,3,3.7,4,0,3.7,3,1.7,3,2.7,0,2.7,0,2,1.7,2.7,0,0,2.7,2.7,0,3,3,3.3
2015-5-30,3.7,3.7,3.7,3,2.7,4,2.7,4,3.7,3.3,0,2.7,0,3.7,2,2.7,3,2.7,2,2,2,3.7,3.3,3.7
2015-5-30,3,3,3.7,3.7,3,4,3.3,3.7,2.7,1.7,0,2.7,1.7,2.7,2.7,3,2.7,2.7,2.7,2.7,0,2.7,3.7,3.7
2015-5-30,3,3.7,3.3,3.3,2.7,3.7,3.3,3.7,4,3,0,0,3,3.7,2.7,2.7,2.7,2.7,3.3,0,2,2.7,3.3,4
2015-5-30,3.3,2,3.3,2.7,2.7,3.7,4,4,2.7,3.7,0,3.7,3.7,4,3,3.3,3.7,3,4,2.7,3.7,3.3,3.7,4
2015-5-30,4,4,3.7,4,2.7,4,3.7,4,4,3,0,3.3,1.7,2.7,2,2.7,1.7,0,0,0,0,2.7,0,3.3
2015-5-30,3.7,3.3,2.7,3.3,2.7,4,4,4,3,3.3,0,3.7,2.7,4,4,3.3,3.3,0,4,2,3.7,4,3.7,4
2015-5-30,4,4,3.7,4,3.7,4,3,4,3.7,3,0,3,2.7,4,3,2,0,2.7,2.7,2.7,3.7,3.7,2.7,4
2015-5-30,3.3,4,3.7,3.7,3,4,3.3,4,3.3,3.7,0,3.3,2.7,3,1.7,2,2.7,2.7,2.7,0,3.3,3.7,3,4
2015-5-30,3.7,3.3,3,4,2.7,3.7,3.7,4,3.7,3.7,0,4,4,2.7,2.7,3.7,3.7,0,2.7,0,4,0,3,4
2015-5-30,3.7,3.3,3.3,4,4,4,2.7,0,2.7,0,0,0,3.7,2.7,0,0,2.7,2.7,0,0,2.7,0,0,4
2015-5-30,3.3,3.3,3.7,0,3.7,4,2.7,2,2.7,1.7,0,2.7,2.7,3.3,3,0,4,2.7,3,2.7,3.7,3.3,3.7,4
2015-5-30,2.7,3.3,4,2.7,2.7,4,4,4,2.7,3.3,0,4,4,4,3.7,2.7,4,2.7,4,4,3.3,3.3,3.3,4
2015-5-30,4,4,3.7,4,4,4,3.3,0,2.7,0,0,0,3.7,2.7,0,0,0,0,3,0,2,0,2.7,3.7
2015-5-30,4,4,4,3,0,4,4,3.3,2.7,0,0,3.7,2.7,3.7,3,3.7,3.7,0,4,3.3,3.7,0,3.7,4
2015-5-30,4,3.7,4,3.3,4,4,3,3.7,3.7,3.3,3,3.3,1.7,3.7,4,0,3,3.7,3.3,2.7,2.7,4,4,4
2015-5-30,3.7,3,3.7,3.7,3.7,4,3.3,3.7,3.7,2.7,3.3,3.7,2.7,3,3.3,0,3.3,3.7,2.7,3.7,2.7,3.7,3.7,4
2015-5-30,2.7,4,4,3.7,2.7,4,2.7,0,3.3,2.7,0,2.7,1.7,3.7,3.7,0,0,2,2.7,3,2.7,2.7,4,4
2015-5-30,3,4,3.7,3.3,2.7,4,3.7,4,4,3.3,3.7,3,3.3,3.7,3,0,2.7,3.7,0,0,0,3,3.3,4
2015-5-30,3.3,4,3.7,3.7,2.7,4,3.7,4,3.7,3.7,3,3.3,4,4,4,3.3,3.7,4,4,3.7,2.7,3.7,4,4
2015-5-30,3.7,3.7,3,3.7,2.7,4,3.3,4,4,3.3,4,3.7,3.7,3.7,3.3,3.3,3.7,3.7,2.7,3.3,2.7,2.7,3.3,4
2015-5-30,3.7,4,3.3,4,3.7,4,0,4,3,3.7,3.7,3,0,2,3.7,0,1.7,3.3,0,0,2.7,3.7,2,4
2015-5-30,2.7,4,3.7,3.3,0,4,3.3,4,4,4,4,4,4,4,4,4,4,4,3.7,4,3.7,3.7,4,4
2015-5-30,3.7,4,4,3.7,4,4,4,4,3.7,4,4,4,4,3.3,4,3.7,4,4,4,4,3.3,3.7,4,4
2015-5-30,4,4,4,4,4,4,2.7,2.7,2,2,3,0,0,3,3.7,0,3,3,2.7,2.7,0,2.7,2,4
2015-5-30,3.3,2.7,2.7,0,0,4,2,0,0,2,0,0,0,1.7,0,0,0,2.7,0,0,3.3,0,2.7,3.7
2015-5-30,0,3.3,3.3,2,0,3.7,4,3.7,2.7,2.7,2.7,1.7,4,3.7,2.7,3.3,3.7,3.3,3.7,2.7,3.3,2.7,2.7,4
2015-5-30,4,3.3,3,3.3,3,3.7,2.7,0,0,2.7,0,0,0,2.7,0,0,2.7,1.7,0,2.7,2.7,2.7,1.7,3.7
2015-5-30,3.3,2.7,3,2.7,2.7,3.7,2.7,3.7,4,4,3.3,2.7,4,4,4,4,3.7,3.7,4,4,4,4,4,4
2015-5-30,4,3.7,3.3,4,2.7,4,2.7,2.7,0,3.7,0,0,2,3,3.7,0,2.7,2.7,3.3,3.7,4,3.3,3.3,4
2015-5-30,2.7,3.7,3.7,3.7,2.7,3.7,4,4,3,4,0,1.7,3.7,4,4,3.3,3.7,4,2.7,4,4,4,3.7,4
2015-5-30,4,3.7,3,3.3,3,4,3,2.7,2.7,3.3,0,0,2.7,3.3,0,2.7,2,2.7,3,2.7,3,3.3,2,4
2015-5-30,0,3.3,3.3,4,1.7,4,0,0,0,0,2,2.7,2,3,2.7,3.3,2,3.3,0,0,0,0,2.7,4
2015-5-30,2.7,3,3.3,3.7,2,3.7,2.7,0,2.7,0,0,0,2.7,2.7,2,3.7,3,2,0,2,3.3,3.3,3.7,3.3
2015-5-30,3,3.3,3.7,3.3,4,3.7,4,3,3.3,2.7,2.7,3.7,2.7,3.7,3.7,3.7,3.3,0,0,0,0,0,2,3.3
2015-5-30,3.7,4,4,3.7,4,4,2,0,3.3,2.7,2.7,0,2.7,3.3,2.7,2.7,2,2.7,4,4,4,4,4,4
2015-5-30,3,4,3.7,3.3,4,3.7,2.7,0,2.7,2.7,2,2.7,2,3,2.7,3.7,2,2,1.7,2.7,3.7,3,4,4
2015-5-30,2.7,3.3,3.7,2.7,3.3,3.7,0,2,2.7,3.3,0,3,2.7,3.7,4,3.3,3.7,3,0,3.7,3.3,2.7,4,3.3
2015-5-30,2,3,3,3,3.3,3.7,4,4,2,2.7,2,3.3,3.7,3.7,3.7,3.7,4,2.7,2.7,2.7,4,3.7,4,3.7
2015-5-30,4,4,3,3.7,4,3.7,2.7,2,2.7,0,2,0,2,2.7,2,3.7,2.7,2.7,2.7,3.3,3.7,3.3,4,3.3
2015-5-30,2.7,3.3,3,1.7,2,4,2.7,3.7,3.3,0,3,4,3,3.7,4,4,3.7,4,0,2.7,0,2.7,2.7,3.3
2015-5-30,2.7,2.7,3.7,2.7,0,3.7,0,0,2.7,0,0,3,0,2,2.7,1.7,1.7,1.7,2.7,3,4,3.3,4,4
2015-5-30,2.7,3,3,1.7,2.7,3.7,3.7,4,2.7,3.7,2.7,3,3.3,4,3.7,4,4,3,3.7,4,4,4,4,3.3
2015-5-30,4,4,4,3,3.7,4,2.7,0,3.7,0,2.7,4,4,4,3.3,3.7,4,1.7,3.3,4,4,3.7,3.7,3.7
2015-5-30,4,4,4,3.3,4,3.7,0,3.3,2,0,0,3.3,3,3.3,3,3.7,2.7,2.7,2,4,3.7,4,4,3.3
2015-5-30,3.3,3,3.3,0,2.7,3.7,2.7,3.3,3,3,0,0,2.7,2.7,2.7,3,0,2,2,3.3,3,2.7,2,3.7
2015-5-30,0,3.3,0,3.7,3.3,4,2.7,3.7,3.7,3.7,1.7,3.3,3.7,3.7,3.7,4,3.7,4,2.7,3.3,3,2,2.7,4
2015-5-30,2.7,2.7,1.7,2.7,2.7,4,0,0,3,0,0,0,2.7,0,2,2.7,0,2.7,3.7,4,3.3,3.3,3,4
2015-5-30,0,2.7,4,3.3,0,4,3,4,0,0,2.7,0,4,2.7,3,4,3.7,3.7,3,3.7,4,2.7,3,4
2015-5-30,2.7,3.7,3.3,0,3.7,4,0,0,2,0,0,0,3.3,0,2.7,3.7,3,4,3.7,3.3,3.7,3.7,2.7,3.7
2015-5-30,0,3.3,4,4,3,4,3.7,3.7,3,2.7,0,2.7,3.7,0,2.7,3.7,0,3.3,3,3.3,3.7,3,2.7,3.7
2015-5-30,3.7,3,3.7,2.7,4,4,2,3.7,2.7,0,0,2.7,2.7,0,3.7,4,3,3.3,3,0,3,0,0,4
2015-5-30,2,2.7,1.3,2.7,2.7,4,2.7,3,0,2.7,0,0,3.3,3.7,2.7,3,3,3.3,2,2,0,0,0,3.7
2015-5-30,2.7,2.7,2,3.3,3,4,2,0,3.7,0,0,0,0,3.7,1.7,2,0,2.7,4,3.3,4,4,3.3,4
2015-5-30,0,0,3,2.7,0,4,4,4,4,4,3.7,3.7,4,3.7,3.7,3.7,4,4,0,2,2.7,3,0,3.7
2015-5-30,2.7,4,4,3.7,3.7,4,2.7,3.7,2,0,2.7,0,3.7,4,0,3.7,2.7,2.7,3.7,4,3.7,4,2.7,4
2015-5-30,2,3.3,2.7,2.7,4,4,2.7,3.7,2.7,2.7,0,3,3.7,4,3.3,4,3.7,2,2,2,3.7,2,0,3
2015-5-30,3.7,2.7,1.7,4,4,4,2.7,4,3.3,2.7,2.7,3.7,4,4,4,4,4,2.7,2.7,0,2,3.7,0,3.7
2015-5-30,3.7,4,3,3.3,4,4,0,0,4,0,0,2.7,0,2.7,0,2.7,2.7,2.7,0,0,0,0,0,4
2015-5-30,2.7,3.7,3,4,3.3,4,2.7,4,3.7,2.7,2.7,3.3,3.3,2,3.3,4,4,3.3,1.7,1.7,3,2.7,1.7,4
2015-5-30,3,3.7,3,3.3,4,4,4,4,3.3,0,3.3,0,3.3,3,3,3.7,3.3,3,3.7,3,3.7,4,2.7,4
2015-5-30,3.3,3.3,3,3.7,3.7,4,3.7,2.7,4,2.7,2,3,3,0,3,3,3.7,0,3.7,2.7,2.7,3.3,2.7,4
2015-5-30,2.7,4,2.7,3.3,3,4,2.7,0,3,0,2,0,1.7,0,0,2.7,0,0,3.3,2.7,3.3,3.7,2.7,4
2015-5-30,2.7,2,2,3.3,2.7,4,2.7,2.7,3,0,0,0,3.3,0,2.7,0,0,0,0,0,0,0,0,3.7
2015-5-30,3.3,2.7,3,2.7,4,4,3.7,2.7,3.3,2,2,2.7,2.7,2,3.3,3.3,4,3,0,2.7,3.7,2.7,0,4
2015-5-30,2,2.7,3,2.7,2.7,4,2,1.7,2,2,0,0,3.7,3,3.3,3,4,3.3,2.7,3,3.3,3,2.7,4
2015-5-30,2.7,2.7,3,3,3.7,4,2.7,0,3.3,2.7,3,0,3,3,0,3.7,1.7,3,3,2,3.7,4,2.7,4
2015-5-30,3.3,2.7,3.7,0,3.7,4,2.7,0,3,0,0,0,0,2.7,1.7,2.7,0,0,2.7,0,2,2,2.7,3.7
2015-5-30,0,2,2.7,0,2.7,4,2.7,0,2.7,3.3,0,0,1.7,1.7,0,2.7,0,2,2.7,2,2.7,2,2.7,3.7
2015-5-30,0,0,1.3,0,2.7,4,2.7,0,2,2.7,0,2.7,0,3,2,3,3.3,2.7,0,0,0,2,2.7,3.3
2015-5-30,4,4,4,4,4,4,4,4,4,4,3.7,3.7,4,4,4,4,4,3.7,0,0,0,0,2.7,3.3
2015-5-30,3.7,3.7,2,2,4,4,3.3,4,2,3.3,3,3.7,3.7,3.3,2,3.3,2.7,2.7,4,4,4,4,4,4
2015-5-30,2,3.7,4,4,2.7,4,2.7,3,3.7,4,0,0,2,4,2.7,2.7,3,3,3.3,0,0,2.7,3,4
2015-5-30,0,3.3,2.7,0,1.7,4,0,2.7,2.7,0,0,0,0,0,0,2.7,0,1.3,3.7,3,2.7,2.7,2,3.7
2015-5-30,3.3,0,1.7,0,3,4,3.7,0,2.7,0,0,0,2.7,2.7,2,3,2,1.7,2,0,2.7,0,1.3,3.7
2015-5-30,2.7,3.7,3,3,4,4,2,2.7,0,3,3,0,2,2.7,2,3,1.7,2,2.7,0,0,0,2,3.3
2015-5-30,2,2,1.7,0,2,4,0,0,3,2.7,0,0,2.7,2.7,0,2.7,2.7,0,0,1.7,2.7,2.7,0,4
2015-5-30,2.7,4,3.7,2.7,3.7,4,0,2.7,2.7,2.7,0,0,2,3.3,2.7,2.7,2.7,2,1.7,2,3.7,3,2.7,4
2015-5-30,4,4,3.3,2.7,4,4,3.7,3.3,4,3.3,4,3.3,4,3.7,3.3,4,4,3.3,1.7,2.7,3.3,2.7,3.3,3.7
2015-5-30,3,3,2.7,2.7,3.7,4,2.7,0,3.3,2.7,0,2.7,3,3,2,3,2.7,3,4,0,3,3.3,4,4
2015-5-30,2.7,2.7,3.7,0,3,4,2.7,0,2.7,2.7,0,0,0,3.3,2,3,2,2,0,2,2.7,2,2.7,3.7
2015-5-30,0,0,3,0,1.7,4,0,2.7,3.7,0,0,0,2,3.3,0,0,0,1.7,3,0,0,0,2,3.7
2015-5-30,3.3,2.7,1.7,2,4,4,3.7,0,4,2.7,3.3,0,3.3,3,2.7,3.7,3,3,0,0,0,2,2,3.7
2015-5-30,2.7,2.7,3.3,2.7,3.7,4,4,4,3.7,3.3,4,2.7,3.7,3.7,3.7,3.7,3.3,3,2.7,2.7,0,2.7,2.7,3.7
2015-5-30,4,3.3,2.7,2.7,4,4,4,4,4,3.7,3.7,2.7,4,3.7,3.3,3.7,3,3,3.7,2.7,3,3.3,3.3,4
2015-5-30,2,2.7,3.7,0,1.7,4,0,0,2.7,0,0,0,0,3,2,2.7,1.7,2,3.7,3,2.7,2.7,2.7,4
2015-5-30,3,3.3,3.3,0,2,4,2.7,3,2.7,2.7,2.7,0,2.7,2.7,0,2.7,2,2.7,0,2,3,2.7,3,3.7
2015-5-30,4,3.3,1.7,3.7,2.7,3.7,4,3,3.7,3.3,2.7,3.3,3.7,3.7,4,3.7,3,3.3,2,2,3,2.7,2.7,3
2015-5-30,4,4,2.7,0,3,4,4,4,3.3,4,2.7,4,3,4,4,4,4,3.7,2.7,2.7,2.7,3,2.7,3.7
